Faktor,VIF,R2 ostali faktori
Logged GDP per capita,4.20225294338737,0.7620324113107966
Healthy life expectancy,3.7292563053173744,0.7318500209883279
Social support,2.954983362370819,0.6615886191664755
Freedom to make life choices,1.589511669395333,0.37087596193590044
Perceptions of corruption,1.4288746089269562,0.3001485268529117
Generosity,1.1885215742386823,0.15861855461853214
