Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Test_R2,Test_MAE,Test_RMSE
Linear Regression,0.7791074975514364,0.03771030205500899,0.3890113285066342,0.016763320306847747,0.5144024942175074,0.03470329072578787,0.7800422310152983,0.4063482331503617,0.551462907977844
XGBoost,0.756949861591132,0.046539108484154205,0.40278723834809804,0.034541183425337005,0.5387244572849385,0.04813565814926183,0.7508979742435505,0.4222824698856899,0.5868610458875625
Random Forest,0.7528256348549969,0.06780657604825413,0.40495376361384033,0.037751448071021904,0.539756437043254,0.05932587679223391,0.7354692343668975,0.41280303637156857,0.6047623529367809
